喂遲啲去唔去旅行啊	ssssssbes
又唔記得咗	sbmes
係嘞	ss
又唔記得咗係開着咗個誒機𡃉喎	sbmessssssssss
即係都會有哩啲噉嘅情況	besssbessbe
噉𠻺真係要小心	ssbesbe
小心啲	bes
唔係啊	bes
我覺得而家個問題就係究竟真係有幾嚴重呢	sbebesbessbebessbes
即係我哋上飛機就淨係講個喂哩個到而家來講對我來講就係話係唔係	bebesbesbesssbesbessssssssssbe
即係係唔係嚇我𡃉咋	besbessss
嗱我就覺得呢就係話誒佢未必呢係去到真係話好嘩一開着呢	sssbessssssbessbebesssssss
有可能	sbe
但係呢就因為呢誒實質上每一種手提電器	bessbessbmesssbebe
都會干擾𡃉係	ssbess
佢個干擾	ssbe
佢係個頻道都唔同啊	sssbesbes
即係你話手提電話	bessbebe
嗱都有咁多種唔同嘅型號嘞	ssssssbesbes
佢就好難就係話嗱邊隻邊隻嘅型號嘅第幾代嘅邊一年嘅出品	sssssssssssssbesssssssssbe
""一九六六呢就唔准帶嘅	ssbmmessssss
即係噉樣	bebe
即係佢做唔到哩一樣嘢	bessssssss
噉你話甚甚至乎好多譬如啊或者電腦啊	ssssbmessbesbebes
亦都係有唔同嘅型號	bessbesbe
噉到底佢哋喺運作或者係操作嘅時候所產生出來嘅磁場係有幾大呢	sbebesbebesbesbesbebesbessbes
對於嗰台飛機譬如嗰台係空中巴士吖	bessbebesssbmmes
係哩個珍寶客機嘅哩個七四七嘅𠻺四八型號啊噉樣呢	sbebmmesbebmessbebesbes
都可能有唔同嘅反應𡃉喎	sbesbesbess
唔係	be
所以我咪係覺得而家個情況就比較尷尬	besssbebesbesbebe
佢呢就寧缺莫濫啊	sssbmmes
係係係唔係啊	sssbes
係好禮貌啊	ssbes
即係佢等於即係叫你"請扣上安全帶喇"	besbebessssssbmess
喀	s
噉樣	be
冇話冇話你唔扣好嚴重噉樣吖嗎	ssssssssbebess
冇話要鎖起你	ssssss
即係如果講到喂即係其實你可能其中一隻型號真係影響佢個飛航嘅儀器嘅說話	bebesssbebesbebessbebebessbesbesbe
喂你真係喀譬如我吸煙就危害健康噉樣	ssbesbesbesbebebe
或者喀點樣違法會點點點噉樣	besbebessssbe
喂你真係起碼嗱你唔熄嘅說話呢我哋有權對你採取以下嘅乜乜乜嘅	ssbebesssssbesbessssbebesssss
你要你要令我感覺到個事態係好嚴重	ssssssbessbessbe
嚴重𠸏	bes
以至到陳輝虹唔會"哎吔唔記得熄喎落機先	bessbesssbebmesssss
"因為而家實在太輕4我覺得成個感覺係	sbebebesbesbebebes
即係如果以你哩個理論呢又係同返你講卡拉嗰個一樣	bebessbebesssssssbebebe
又係上機之前呢就與其呢就喺度睇嗰啲即係廣告片啊或者係乜嘢嘅話呢	ssssbessbesssssbebebessbesbebes
就應該播返一條呢就空難嘅片啊又係	sbessssssbesssss
係囖譬如而而家我哋啱啱講下華航	ssbesbebebessbe
喀	s
噉如果其中一種揣測係唔係因為有哩啲噉嘅干擾呢噉吖	sbebessbesbebesbessbesss
譬如如果你真係證實咗	bebesbebes
你真係要話俾我哋聽𡃉喎	sbesssbesss
喀	s
嗱我哋誒有噉嘅記錄吓	sbessssbes
八三年同埋八六年呢就係因為噉樣𠺝	bmebebmesssbebes
然之後就有以下片段	bmessbebe
請大家睇下嚹噉樣	sbesssbe
打電話之後就會點啊噉樣	bmebessssbe
喂我哋而家真係成日偷雞𠺢嗎	sbebebebebess
又唔係話偷雞喇	sbesbes
有時真係唔記得𠺢嗎	bebebmess
熄嗰樣嘢	sbes
譬如電腦啊	bebes
諸如哩啲	bebe
同埋有時最衰係我哋身上嗰啲電子儀器多到自己唔知邊樣嘢係來𡃉啫	bebesssbebebebebessbessbesssss
係電子儀器來𡃉分分鐘	sbebessbme
電子錶唔知放喺邊	besbesss
電子錶算唔算𡃉啫	bessssss
不過我覺得哩啲係公民教育囖呵	besbebesbmmess
我而家睇戲呢或者上飛機都係𡃉	sbebesbesbesss
都會一個電話	ssssbe
即係我我又唔知啲人嚹	bessssssss
可以喺睇𡁵"鐵達尼號"呢可以1111	bessssbmmessbebmme
"喂喂啊哦	sssss
一陣間見喇	bmess
啊係	ss
"放喇放放啊放晒佢	sssssssss
佢佢唔會諗下第二啲人	ssssssbess
會唔會騷擾到人𡃉喎	sssbessss
佢唔理𡃉	ssss
點會理唧	ssss
即係我本身我呢入戲院同埋上飛機	besbesssbebesbe
我一定會睇一睇𡃉	sbesssss
即係一定要熄𡃉	bebesss
因為我唔好意思會騷擾到人𠺢嗎	besbmmesbessss
睇戲哩啲嘢	bebes
即係我覺得每個人嘅公民教育囖哩啲	besbessssbmmesbe
啊哩句哩個就高高層次啊	sssbesssbes
高層次啊哩個	bmesbe
我哋比較低	bebes
我哋重要嚇你	bessss
"空難啊大佬啊	sbesbes
即係你好冇意思噉樣對人吖嗎	besssbebessss
你知唔知啊	sssss
嗱哩啲好好孔子下𡃉	sbessbess
哩啲係	bes
即係"己所不欲"啊	besbmmess
就"勿施於人"	ssbmmes
噉𠻺講返呢就係話即係譬如話哩啲噉樣嘅電話嘅追蹤系統呢	ssssssssbebesbebesbesbebes
噉而家日本呢發展到你可以攞返個資料嚹	sbebesbessbesssbes
因為佢透過嗰個網絡佢就會知道你頭先打來嗰個電話到底係喺邊一個定點位嗰度	besbebebesssbesbessbebebesssssbesbe
從而呢套返落去個電圖地圖嗰度呢	besssbesbebebes
就知道哦原來呢你就喺哩個九龍城嘅嗰個坐坐標	sbesbessssbebmesbesbe
噉如果對返地圖	sbessbe
咦嗰度咪機場	sbesbe
噉𠻺機場又拍返喺個坐標	ssbesssssbe
咦嗰度咪停住嗰隻飛機	sbesssssbe
個飛機入邊嗰個排位有晒嘅	sbebebebesss
即係噉樣就知道哦原來你喺嗰個嘞	bebesbesbessbes
噉呢哩個嘅好處呢佢哋呢就係話點解要噉做呢	ssbesbesbessssbessss
一則呢就係方便好多家長呢	besssbessbes
如果係有小朋友遺失咗即係蕩失就揾到喇	bessbmebesbebessss
另外呢就差人呢亦都可以透過呢就係話哩一個嘅追蹤系統呢係知道譬如	bessbesbebebessssssssbebessbebe
或者係透過電話裏邊進行一啲聯絡嘅時候呢就會掌握佢嘅位置嘞	besbebebebebebesbesssbessbes
噉就即係哩個誒做法佢哋嘅出發點就噉樣	ssbebesbebesbmesbe
但係呢哩件事出咗來之後呢就有日本有一啲嘅人權組織就話噉樣其實係	besssssssbesssbesbesbebessbebes
私隱權	bme
即係對於保唔保障到打電話出來嗰個人	bebessbesbmebebes
佢都應該擁有一個嘅私隱權喇	ssbebesssbmes
或者佢真係唔想俾你知道	besbessssbe
舉例就係一個男性	bessssbe
噉就要打電話俾一個女性	sssbmesssbe
然之後呢就要話俾佢聽佢今晚唔返來食飯	bmessssssssbesbebe
因為佢其實呢實則上呢就喺另外一個女性嘅屋企嗰度噉樣	besbesbmesssbessbesbebebe
噉就穿晒𡃉嚹	ssssss
即刻就穿晒𡃉嚹	besssss
係	s
即係喂唔好講到咁遠喇	besbesssss
甚至乎就而家哩啲我哋香港用哩種	bmesbebebebesss
我都覺得呢係有些少問題嘅	ssbesssbebes
我哋香港用嘅就係基本上你一打去俾對方對方呢就會收到知道邊個打來	bebessssbmesssssbebesssssbebess
來電顯示	bebe
喀	s
噉呢我𠻺覺得喂點解個邏輯會係噉嘅	ssssbesbesbessss
邏輯錯咗啊	besss
即係我打俾錢家樂	bessssbe
我唔一定想佢知道我嘅電話𠺢嗎	ssbessbessbess
係唔係先	sbes
可能係錢係唔係啊	besssbes
噉而家就唔係嘅	sbesbes
如果我可以唔俾錢家樂知道	besbesssbebe
除非我預先呢就又設定咗	besbesssbes
打多幾個冧巴	ssssbe
或者喀	bes
喀	s
即係我係覺得係應該調返轉來	bessbesbessss
就如果我想錢家樂知道我嘅電話	sbesssbebessbe
邊個揾嘅我咪撳個掣俾佢囖	bessssssssss
錢家樂亦都有權	sbebess
吓	s
你唔講邊個啊我咪就唔接你電話囖	sssbesssssssbes
我就唔接你嘅	ssssss
即係應該噉先至係一個嘅嘅嘅嘅系統來𡃉	bebesbesssssssbess
如果日本哩隻呢就嘩更加離譜𠻹	bebesssssbebes
我唔單止俾佢知道我係邊個我喺邊一度	sbmessbessbesssss
咪俾你知道我喺佢屋企樓下等𡁵佢啊	sssbesssbebessss
噉樣呀	bes
愛來識女仔用𠺢嗎哩招可以	sssbesssssbe
咪就係噉樣先至冇用啊	sssbebebes
原本以前呢就未有哩啲神話嘅	bebessssbebes
伏佢係唔係啊	sssbes
唔係	be
以前有啲神話呢就係打電話俾你	bebebesssbmess
然之後就係話"乜乜乜	bmesssssss
誒誒你而家得咗乜乜乜嚹	sssbessssss
"噉然之後你其實自己喺下邊呢	ssbmesbebesbes
就揭開嗰道玻璃門	sssssbes
""即係噉樣𠺢嗎	ssbebess
而家冇哩啲嚹已經	besbesbe
噉你邊有得唧	sssbes
冇晒嚹	sss
係唔係先	sbes
即係哩下呢又要變咗即係要商榷囖	besssssssbesbes
又要再諗諗下佢	sssbess
噉即係佢哋嗰邊呢的確係提出噉樣	sbebebesbesbebe
噉但係呢就誒我估呢應該即係日本人呢佢哋諗得做哩啲呢照計都	sbessssssbebebmesbesssbesbes
即係譬如話喺一方面民意方面佢哋會做好多嘅即係調查嘅數據啊	bebesssbebebebesssssbebesbes
又甚至乎而家即係基本上呢如果即係有差人話對於佢哋本身喺查案方面有實質嘅得益	sbmebebebmesbebesbesbebebesbebesbesbe
噉我諗呢即係應該都唔會推得翻𡃉嚹	ssssbebessssssss
但係差即係我成日覺得如果我係賊佬	besbesbebebessbe
嗱其實哩樣嘢應用喺呢如果你個主要嘅目標呢係應付賊佬	sbebesbessbessbesbessbebe
我覺得一定唔𠺢嗎	sbebesss
個賊佬咪喺哩度打咪走咗去囖	sbessbessssss
放低個電話	sssbe
留俾你使𠻗好唔好啊	sssssssss
噉樣	be
日本啲電話好鬼平嘅	besbessss
好鬼平係唔係先	ssssbes
即係係對大部份嘅人係唔方便在呢即係有些少鬼馬嘅人就好唔方便嘅哩樣嘢係	bessbmessssbessbesbebesssssbesbess
有些少鬼馬	sbebe
你連唯一追女仔嘅	ssbebmes
嘅諗住哎吔我樣𠻺唔得嘞	sssbessssss
追女仔或者避女仔嘅	bmebesbes
你都死喇譬如而家噉樣	ssssbebebe
噉我打返去喀	ssssss
你係唔係喺商台做𡁵啊	ssbesbesss
原本係唔係都話係噉樣	besbesssbe
而家就一定知道晒你喺深水埗銅鑼灣定喺商台即係噉樣	besbebesssbmebmessbebebe
即係我覺得係其實哩個世界係每個人都有一個鬼馬嘅時刻𠺢嗎	besbesbebebessssssssbesbess
好鬼鬼馬𡃉唧你	ssbesss
冇理由冇理由用咗即係侵犯我哩個鬼馬權𠺢嗎	sbesbessbebesbebesss
係	s
即係計私隱權之後呢	besbmebes
即係我哋再微分法之後呢就發現呢就係私隱權都可以放棄	bebessssbessbesssbmesbebe
鬼馬權就唔放棄得	besssbes
有一單官司真係叫審死官啊	sssbebesbmes
噉呢就有個誒阿嬸吖喀就都其實都應該叫婆婆𡃉嚹就八十歲𡃉嚹	ssssssbessssbesbesbesssbesss
噉就俾車撞到	ssssss
係一架巴士來嘅	sssbess
噉𠻺撞到佢呢就脫骹啊膊頭啊脫跤同埋腿部𠻺骨折嘅	sssssssbesbesbebebesbes
噉𠻺即係都幾唔開心喇喀	ssbesssbess
跟住呢就即係要住醫院啊	bessbessbes
噉𠻺就誒影響咗生活	ssssbesbe
噉但係呢佢就開始向哩個巴士公司索償噉要償誒索償四十五萬	sbesssbesbebebebessssbebmme
噉呢哩個吖如果你話以即係身體嘅損傷	ssbesbesssbebesbe
但係佢有一個特別嘅嘅索償理由喎	bessssbessbebes
就係話呢佢唔能即係自從意外之後呢佢就喪失咗一個能力就係同哩個靈界	sssssssbebebebesssbesssbesssbebe
即係唔能夠再進行佢嘅即係神誒嘅任務啊	besbesbessbesssbes
佢之前呢即係十年前呢佢得到即係𠻺一種特別嘅能力	sbesbesssssbebesssbesbe
就係呢即係俾啲神搞啊	sssbesssss
噉呢自此之後呢就有咗一種即係同人哋解籤啊驅魔啊甚至乎神打請神上身	ssbebessssssbesbebesbesbmebessbe
噉於是佢就走去同啲街坊做啲靈媒嘅工作嘞噉樣	sbessbessbessbesbesbe
噉自從撞咗車之後呢弊傢伙搭唔通天地線	sbesssbesbmesssbme
嗌極都唔上來做唔到生意	ssssbesssbe
噉呢就要求索償四十五萬嘅噉樣	sssbebebmmesbe
噉你話即係如果打起官司上來呢你話個法官點點判呢	sssbebessbebessssbessss
即係點樣揾到一個理由出來呢	bebessssbebes
唔係	be
我我覺得個理由係容容易嘅	ssbesbessbes
係充分嘅	sbes
譬如你一路係從事開哩個行業吓	besbesbesbebes
譬如你一月一號就俾車撞	besbebessss
然後到而家譬如當係三月一號你都未做過嘞噉咪可以你停咗三個月	besbebessbebessssssssbessssss
我覺得佢哋官司難打在乜嘢呢	sbebebesssbes
你喪失咗	sbes
噉我賠哩四十五萬係俾你喪失嗰個期間吖抑或係俾埋你將來𡃉	ssssbmmesssbebebesbessssbes
俾埋將來啊佢而家計落去	ssbessbesbe
俾埋將來就係喂難保你聽日就返來喎嗰一嘢	ssbesssbesbesbessss
係喎	ss
即係你話隻手甩咗唔郁得噉樣	besssssssssbe
噉你就係成世𠻺唔郁得𡃉喇係唔係啊	sssssssssssssbes
喀	s
一般我哋講𡁵喪失工作能力就係即係我可以證明到喀你係喪失咗吖嗎	bebessbebebessbesbebessssbesss
噉而家我唔知點點證明你好	sbesssssbess
原來隻靈玩你啊大佬呀	besssssbes
即係今次係玩你	bebesss
係囖	ss
同埋嗰日""唔開心或者你聽日忽然間重行啲呢	bebesssbebesbebmessss
即係原本你一次只係同一個神溝通傾偈𡃉唧	bebesssbessssbebess
跟住兩個禮拜之後忽然間嘩4144請晒成班人來開會喎可以	bessbebebmesbmmessssssbesbe
噉嘅時候你會唔會賠返多啲俾巴士公司呢哩個	ssbesssssssssbebesbe
你唔會講𡃉啫	ssssss
你暗中收埋𡃉啫係唔係啊	sbesssssbes
噉哩個唔公平𡃉喎	sbesbess
所以第一我就係話哩個四十五萬	bebessssbebmme
唔知點樣定出來吖	ssbesbes
即係佢自己開𡃉啫	besbesss
點樣定佢出來呢	bessbes
係嘞	ss
噉誒譬如阿子華嗰個講法	ssbebmebebe
譬如佢話十年前開始呢就做哩一樣𡃉嚹	besssssbessssssss
噉如果十年呢誒唔知佢做咗幾多單生意呢	sbesssssssssbesbes
即係如果佢有噉樣嘅數據嘅話真係可以幫到咁多人噉咪可以話你咪計返"	bebessbesbebebebesssssssbessssss
"或者哩一種特殊你所講嘅所謂能力喇吓噉𠻺到底可以呢為佢喺哩一個生活	sbesssbessssbebessssbebesssssssbe
噉然之後你咪從而算落去囖	sbmessbesbes
噉但係佢都八十歲咯	sbessbess
噉即係來𡁵要幾多年先得到哩一個噉樣嘅數字呢	sbesssbessbesssbesbes
又唔知	sss
係啊	ss
但係佢可以同個神傾下偈𠺢嗎	besbessssssss
俾多啲歲數俾多啲歲數	sssbesssbe
噉講下講下百零二百歲隨時攞到返來𡃉喎哩啲嘢	sssssssbesbessbessbes
你就係撞完之後"喂哦百二歲死	sssssbesssbess
喂唔得𡃉𡃓我	ssssss
起碼起碼二百零歲𡃉喎	bebebessss
可以噉樣講𡃉喎	bebesss
即係哩個真係冇得計喎	bebebebess
嗯	s
但係哩條橋都幾好𠸏我覺得	bessssssssbe
哩條橋好啊	sssss
若果係一條橋𡃉話就	besssssss
同埋唔係	bebe
佢佢都有話佢即係平時即係月入都六千零蚊𡃉平時同人睇下掌啊噉樣都	ssssssbebebebesbesssbessssssbes
即係有數據當然你冇單冇據𡃉喇	besbebesssssss
但係譬如佢平時都可以加埋哩一條上去我覺得	bebesbesbesssssbesbe
即係有乜嘢意外啊	besbebes
加埋哩一○上去啊	sssssbes
你平時話乜嘢冇咗生活情趣啊冇咗工作能力啊	sbesbessbebesssbebes
但係哩個平時我都同人睇下掌𠺢嗎都講下前程𠺢嗎	bebebessssssssssssbess
哩啲真係賺唔少返來𡃉喎	bebesssbess
但係我真係覺得哩度有啲矛盾囖	besbebebessbes
即係如果你話佢嗱首先就第一即係當係喀聽故仔噉樣聽喇喀	bebessssbesbebessssbebesss
即係佢話自己又有哩個特異功能啊可以同靈界溝通啊又幫人預測哩個運程啊	bessbessbebebesbesbebessssbebebes
係嘞計唔到	sssss
嗱佢有一樣計到𡃉𡃓	sssssssss
就係我覺得睇今年	sssbesbe
佢喺門口上邊喺佢自己間屋度呢就掛咗今年嘅嘅運程出來	ssbebessbesssssssbessbebe
我覺得如果佢今年預測哩個運程係啱𡃉呢應該賠俾佢	sbebesbebebebessssbesss
嗱有幾點佢話樓市繼續跌	ssssssbebes
三月六月會有天災地陷	bebessbmme
七月台灣或中國會有戰爭	bebesbessbe
嗱如果講得啱嘅話呢應該賠四十五萬俾佢吖	sbesssbesbesbmmesss
即係佢係有見地𡃉喎噉樣	besssbessbe
成功喎	bes
睇到一年嘅運程喎	sssssbes
噉但係問題就係話即係哩一個講到自己咁巴閉喇噉佢點解唔會預測到自己係	sbebesssbesssssbesbesssbessbesbes
甚至乎佢喪失佢有機會係會喪失哩種特別嘅能力嘞	bmesbessbessbessbesbes
又或者預言到我以後呢就將會冇或者係返返轉頭啊噉樣	sbebessbesssssbesssbesbe
根本冇得講𡃉喎	bebesss
"唉哩一劫我係要硬食𡃉嚹	ssssssssbess
"佢梗係噉講𡃉喇	ssbessss
即係我明知哩劫係劫我𡃉嘞	besbesssssss
同埋多係唔求得𡃉	bessssss
係四十五萬呢有得諗	sbmmesbes
嗱我唔攞四十六	ssssbme
我係知𡃉	ssss
講好晒𡃉	ssss
即係講晒數𡃉哩啲係應該	bessssbesbe
但係我𠻺覺得講乜嘢都多餘嘞	bessbesbesbes
如果好似你頭先所報導噉樣呢一位老伯老婆婆八十歲嘞又骨折又點樣斷手	bebesbesbebesssbebmebesssbesbebe
起碼嚹	bes
梗係唔多喇	besss
唔多	ss
我覺得唔多	sbess
八十歲嘅老婆婆𠻺受啲噉嘅皮肉之苦	bessbmesssssbmme
真係巴士公司	bebebe
喀	s
巴士公司喇	bebes
係唔係啊	sbes
的而且確係話咗已經判咗𡃉嚹	bmmesssbessss
係巴士公司嗰邊係即係駕駛係有問題	sbebebesbebessbe
有冇講噉原本賠幾多俾佢吖	bessbesbesss
可能賠返八嚿水噉𠻺唔係好啱喇	besssssssbesss
冇	s
未噉𠻺係告𡁵𡃉唧噉樣	ssssssssbe
即係佢而家索償	besbebe
索償𡁵𡃉唧噉樣	besssbe
係哩個四十五萬	sbebmme
四十五萬	bmme
噉其實照計佢唔使話自己係靈媒	sbebesbesbesbe
即係以黃子華噉計就正常地都應該俾返佢喇	bessbesssbessbessss
係唔係噉嘅意思	sbessbe
站在哩一個即係客觀嘅人道立場	sssssbebesbebe
唔係	be
佢就驚係就噉唔夠吖嗎	ssssbessss
十萬八萬睇好多醫生𡃉嚹	bebesbebess
阿婆呢阿婆就點樣我覺得阿婆叻在佢可能佢真係我唔知佢有冇噉嘅超能力喇	besbesbesbebesssbesbessssbessbmes
但係阿婆呢就唔明一樣嘢呢喺哩個講法律嘅社會呢佢係可以同你打哩個官司	bebesssssssssbesbesbesssbesssbebe
我哋而家呢當然首先要證明就阿婆你有冇超能力啊	bebesbebesbesbesbebmes
我哋就要喺美國就揾""嗰隊友	besssbesssssss
走來驗一驗先	bessss
就走來呢可能研究你廿年啊大佬	sbesbebessssbe
""女主角而家個妹究竟點解俾人捉走咗到我哋到而家都未知	sssbebessbebessbessbesbesss
都係一個謎	sssss
重係一個謎	sssss
噉阿婆我哋而家首先就要證實究竟你有冇料到	sbebebebessbebesbess
喺香港可以有人證𡃉	sbebesbes
廿年阿婆等唔等得啊	ssbesssss
揾曹宏威博士來搞搞佢吖嗎	ssbebessssss
又睇睇	sss
係唔係啊	sbes
阿鍾永堂又上堂又睇睇噉樣	ssbesbesssbe
陳果齊又要出現	sbessbe
陳果齊出來	sbebe
又又起一起壇噉樣	ssssbebe
用哩個角度去睇𡃉	sbebesss
可能真係上庭	bebebe
上次都試過喇上庭	bessssbe
嗰啲有鬼仔嗰啲又請佢上去睇一睇	besbebesssbesss
哩啲官司都幾難打𡃉	bebesssss
即係有一個又係有科學根據	bessssssbebe
嘩你哩一句"上次都試過喇"就已經好似有案例噉喎	ssssssbessssssbebesbess
我真係唔知點同你講落去	sbessssssbe
係有案例啊嗰個捉鬼仔嗰個	ssbesbesbebe
話佢就話佢無端端死咗啊俾隻鬼嚇死啊	sssssbmessssssbes
審重審𡁵啊好似係	sssssbes
我哋繼續再講哩個話題相信有無數咁多嘅聽眾都會係誒俾我哋嚇死𡃉	bebessbebebesbesssbesssssbebes
話俾大家睇睇	ssbess
參考下	bes
參考下喇	bess
結束咗哩個話題	besbebe
結束咗佢	bess
即係娓娓道來噉𠻺講咗佢自己本身呢作為一個職業女性或者係一個女創作人	bebmmesssssbebesbessbmmebessssbes
喺誒即係哩個機構裏邊呢即係工作咗八年嘅一啲點點滴滴喇吓	ssbebebebesbebessssbebmmess
噉但係譬如先前頭先講講過呢就係話即係去到某一啲關口呢你都覺得即係已經	sbebebebesssssssbebesbebesssbebebe
如果都唔得𡃉話呢都會諗住即係自己都執包袱𡃉嘞	bessssssssssbebesbmess
噉𠻺最後一個嘅經歷就係哩個"睇真Ｄ"喇	ssbesssbessbesbmess
噉卒之係一個成功𠸏	sbesssbes
係啊	ss
當時係啊	bess
係一個成功嘅喀	sssbess
噉即係從而呢亦都換回一啲即係工作上嘅或者創作上邊嘅信心啊會唔會呢	sbebesbessbebebessbebebesbesssss
會𡃉	ss
會𡃉	ss
即係喺嗰段時間同埋係有一班人好開心囖	besssbebessssssbes
有一班好開心嘅人一齊做嘢	ssssbessbebe
噉其實嗰班好開心嘅人一路做到而家𡃉其實	sbesssbessbessbesbe
就係大姐明啫噉樣喀	ssbmesbes
誒係啊	sss
即係係係誒其實係幾好𠸏	besssbessss
即係我覺得其實喺我哋自己嗰個裏邊我覺得有一班非常之好嘅囖	besbebesbebebebesbesssbmesss
即係佢哋都係誒因為我哋而家度橋度到冇橋呢	bebesssbebebebesssss
噉就唔好嘞	sssss
講心願囖	sbes
你重有乜嘢心願未做	sssbebess
喂我覺得亞視就係𡃉	ssbebesss
即係佢哋稍為有啲譬如好嘅成績呢	bebebebebessbes
你係覺得好激動啊成班人	ssbesbessss
即係我好記得嗰陣時"睇真Ｄ"有啲即係大姐明嗰啲覺得係淚眼盈眶噉樣	bessbebmesbmesbebebmebebesbmmebe
硬硬係下下都"反攻"即係噉樣呢	sbebessbesbebes
""都係𡃉	sssss
"你俾我攞十點我就請食飯"噉𠻺十點啊	ssssssssssbessssss
係	s
即係當有些少希望有些少曙光嘅時候你哋呢就會好振奮𡃉	bessbebesbebesbebessssbes
喀每一次都係噉	sssssss
而家係處於一種乜嘢狀態啊	besbessbebes
誒而家都幾平穩𡃉	sbessbes
哈即係只要唔好諗明天	sbebebesbe
心境都幾好𡃉	bessss
唔係	be
應該係噉講	besss
其實係因為其實誒我諗我做得耐啊喺嗰度	besbebesssssssssbe
開始呢我覺得係"哎吔十啊"幾好	bessbessbesssss
即係已經冇乜冇乜遐想啊係唔係啊	bebessssbessbes
總算有個交代喇	bessbes
即係嘩十五點二十點哩啲	besbesbesbe
嘥氣喇諗諗都嘥氣啊	bessssbes
會唔會呢	ssss
即係誒其實係好難囖原來發覺	besbessssbebe
原來好難攞到一個好嘅收視嘅係	bessssssssbess
即係原來誒我自己返屋企可能都會係噉樣囖	bebessbesbebesssbes
即係你因為睇一個電視台	besbesssbme
如果嗰個電視台係除非佢好好差囖情況好壞噉	bebebmesbesssssbesss
你就會諗下隔離重有乜嘢睇	sssssbessbes
但係如果佢情況都唔係吖都吖噉你𠻺唔會記得隔離重有樣嘢一定要睇	bebesbesbessssssssbebessssbess
我哋講到好似好慘噉	bessbesss
好似低處未算低噉	bebessss
噉已經有一億人呢講過即係亞視點解咁不濟呢	sbesbessssbebebesbes
點解硬係做唔起呢	bebessss
噉我哋由而家余永姍如果俾你講一個原因你自己覺得最大嘅原因係乜嘢呢	sbesbesbebesssssbesbebesssbesbes
誒其實係我覺得要好多年囖	sbessbesssss
都唔少年𡃉嚹喎	sssssss
但係但係每次都係又行返轉頭	bebebesssssbe
即係其實佢變得太緊要啊	bebessssbes
我覺得個上層變得太緊要係	sbesbesssbes
係個問題來𡃉	ssbess
因為其實係每一個人行入來佢哋誒發覺"嘩好亂啊"然後跟住當佢	bebessssssbebesbessssssbebess
"亂裏邊其實有有自己嘅規律𡃉喎	ssbebessbesbess
有佢亂亂的美學喺入邊啊有陣時	sssssbesbesbme
原來只要掌握到哩個規律其實就會有啲嘢會行到	bebebesbebebessbessss
噉𠻺每個行入來都會有哩個情況囖	sssssbesssbebes
然後當佢哋咦發覺開始明白個規律嘅時候就差唔多又有第二個噉啊	besbesbebebesbesbesbmessbmess
噉哩個係哩個其實我相信就算喺邊間大公司都會係噉	sbesbebesbebessssbessss
其實係應該揾你做哩個高層會唔會	besbesssbebesss
你係最穩定	sssbe
八年以來都重喺度	ssbessbe
我識嗰幾個都唔喺度	sssssssbe
唔係	be
你有好多都重喺度嘅	ssssssbes
你之前阿蕎英之前有一個李沛權	sbesbebessssbe
阿李生	sbe
當年李生都請我去做顧問啊噉樣樣	bebesssssbesbme
嘩受寵若驚	sbmme
噉𠻺兩下阿李生你俾人趕走咗啝	sssssbesssbess
有冇搞錯	bebe
即係心裏戚戚然啊我當時都戥佢覺得	bebebmessbesssbe
噉跟住阿蕎英蕎英又係老朋友噉樣吓	sbesbebessbmebes
走完又走	ssss
以前我上司來嘅	besbess
最穩定係你	sbess
其實你係唔係應該企高啲呢	bessbebessss
唔係	be
唔係	be
因為一企高你又會走即係	besssssssbe
唔係	be
噉講好危險啊大佬	sssbesbe
唔係	be
我我覺得誒我始終都係個製作人囖	ssbessbesssbmes
即係去到尾只係個製作人囖	besssbesbmes
實在係只係可以做好自己嗰範	besbebessbess
但係自己嗰範都未做好囖其實	bebesssssssbe
因為每次都重要話"哎吔死嚹死嚹死嚹死死死	bebesssssbesssssssss
今個禮拜	ssbe
"同埋我哋成日要星期一返去甩牌囖	sbebebesbmebesss
即係甩下今個禮拜幾多啊	bessssbebes
噉如果好好少少噉就可以定啲囖	sbessbessbesss
如果衰起上來就會好衰	bessbessss
噉所以其實係要好小心囖	sbebesssbes
衰起上來就會好衰""步步為營啊都話要	ssbessssssbmmessss
係啊要	sss
其實係誒對對創作人來講其實好𡃉	bessssbesssbess
因為你冇得你其實冇乜點停𡃉	besbesbesssss
即係你譬如你一衰呢你就要諗即係除咗你當然可以唔諗	besbessssssssbebesbebess
但係就要諗要點搞囖	besssssss
頭先你講過話但係你會鍾意	bessssbessbe
你話好玩啊因為	ssbesbe
係啊	ss
喀	s
係點樣乜嘢令你覺得好玩	sbebessbebe
誒第一因為你冇得選擇去停步囖	sbebesbebesbes
即係你唔可以停𡃉其實	bessbessbe
冇得原地踏步	bebmme
你冇得話喂不如揞眼閂埋門鎖閘放狗	sbessbesssssssss
然後誒打下麻雀先	besssbes
唔得囖	sss
你真係唔可以	sbesbe
你真係	sbe
你因為跟住下個禮拜俾人鬧呢你就開始要咦唔係喎	sbebessbessssssbessbes
我哋要點樣變	besbes
噉同埋呢係因為跟得好緊啊	sbessbesssss
其實每樣嘢佢都跟得我哋好緊	bebesssssbess
噉跟到呢我哋係○唔甩囖	ssssbesssss
即係唔知點唔知點算啊其實係	besssssbesbes
噉所以我哋成日都問嘅"點呢	sbebebessssss
有乜嘢方法呢	sbebes
重有乜嘢可以點	ssbebes
有乜嘢可以做	sbebes
